fecha,pais,dist_num_A,agot_num_A,ventas_unidades_A,ppu_A,inventarios_A,share_A,inversion_promos_A,inversion_promos_tv_A,dist_num_B,agot_num_B,ventas_unidades_B,ppu_B,inventarios_B,share_B
01/10/17,GT,51,6,3556900,3.813732604,6363000,0.287205781,0,0,62,5,6367700,3.300294376,10688600,0.514166902
01/11/17,GT,47,4,3334800,3.810397775,6484200,0.277025063,0,0,60,5,6240100,3.257435939,10588100,0.518371144
01/12/17,GT,44,5,3273100,3.768661972,6022000,0.275219252,0,0,59,4,6269900,3.23520096,10553400,0.527205765
01/01/18,GT,46,5,3357200,3.75692035,5909500,0.262595133,0,0,62,6,7037100,3.142936437,10980100,0.550431375
01/02/18,GT,47,2,2941900,3.717829464,6390100,0.252121077,73928.4,72648.4,63,5,6618600,3.121747122,10371500,0.567214576
01/03/18,GT,48,3,3318500,3.67369429,6053600,0.261032014,171398,166118,62,2,7143500,3.058975012,9594900,0.561905136
01/04/18,GT,49,3,3315000,3.653632579,5904800,0.273122745,0,0,63,3,6822100,3.067682458,9211700,0.562072602
01/05/18,GT,50,3,3434700,3.53181355,6191800,0.270764355,0,0,65,5,7183000,3.022811082,8510500,0.566250434
01/06/18,GT,49,4,3268900,3.499204472,5987200,0.264574717,0,0,64,5,6807600,3.028683016,9524900,0.550986216
01/07/18,GT,47,3,3294100,3.538673082,5212100,0.256613798,0,0,62,5,7230900,3.075631111,9801400,0.563294591
01/08/18,GT,46,2,3068200,3.526271104,5192600,0.25116241,0,0,62,2,7048300,3.045574039,9384200,0.576972823
01/09/18,GT,47,5,2792400,3.497966982,5610700,0.232593395,0,0,64,6,7040900,3.013256473,10451800,0.586472867
01/10/18,GT,46,3,3071300,3.428064989,5303000,0.241629166,0,0,62,2,7330100,3.011586199,9963400,0.576682821
01/11/18,GT,48,2,2969300,3.428026808,5435900,0.234705008,0,0,62,3,7342600,3.069623362,9721600,0.580387631
01/12/18,GT,48,3,3183400,3.401210812,5300800,0.256198946,0,0,62,5,7093600,3.060196797,9690500,0.570890507
01/01/19,GT,47,3,3132500,3.447385475,5207000,0.242200487,0,0,62,5,7592900,3.012048493,9212900,0.587072332
01/02/19,GT,47,4,2932600,3.351907011,5599000,0.245895591,0,0,60,6,6828100,2.988374438,9359300,0.572529389
01/03/19,GT,47,3,3331100,3.355757257,5336900,0.286926337,0,0,59,4,6139600,3.101066356,9130400,0.528838203
01/04/19,GT,48,4,2982700,3.420858953,5344900,0.264975792,0,0,62,4,6034400,3.180215514,9353000,0.536081375
01/05/19,GT,45,6,2988800,3.415273019,5022300,0.252906632,3080,3080,63,4,6213600,3.1385164,9389500,0.525783141
01/06/19,GT,44,3,2739100,3.478447483,4794400,0.238799334,0,0,63,4,6264100,3.01141417,9897100,0.546114749
01/07/19,GT,42,3,2878600,3.461864274,4997900,0.230853128,0,0,61,3,7096600,3.013078516,9729800,0.569121209
01/08/19,GT,42,4,2846600,3.526324387,5211400,0.227992471,0,0,61,5,7062900,3.023184032,9624900,0.565688198
01/09/19,GT,45,2,3072700,3.522481694,5313900,0.248018403,0,0,62,4,6847000,3.0951987,9368800,0.552667689
01/10/19,GT,46,3,3204000,3.402857522,5283900,0.248400977,0,0,64,6,7045200,3.055563788,9434200,0.546203047
01/11/19,GT,48,6,3404400,3.375450006,5487900,0.261971636,2816,2816,65,4,7231600,3.027346576,9537100,0.556478111
01/12/19,GT,47,4,2981700,3.441341517,5326200,0.237797875,0,0,64,3,7324300,3.00524289,9256900,0.584130858
01/01/20,GT,47,4,3156200,3.49553989,5248900,0.259607159,0,0,63,5,6635400,3.000181074,8468600,0.545782062
01/02/20,GT,45,4,2910400,3.476976532,4771700,0.266137513,1650,0,61,4,5993400,3.000788951,8208800,0.548058195
01/03/20,GT,44,3,2806900,3.553292422,4615100,0.249234157,3300,0,60,3,6378400,2.987449517,8475700,0.566359738
01/04/20,GT,42,2,1778200,3.584122427,4610000,0.243096189,3300,0,59,2,4108600,3.023691282,8631300,0.561683163
01/04/17,EL,58,4,3385300,3.420688861,4029100,0.403506681,0,0,60,5,3347600,3.368223055,3389700,0.399013076
01/05/17,EL,60,5,3324300,3.4068267,4074800,0.415407685,0,0,59,4,3148000,3.440711245,3380000,0.39337707
01/06/17,EL,61,4,3416200,3.395035859,3949600,0.41370875,0,0,58,4,3270000,3.438670795,3101200,0.396003633
01/07/17,EL,61,3,3385500,3.375682026,4043300,0.418241791,0,0,59,4,3170200,3.464319917,3204800,0.391643812
01/08/17,EL,60,3,3264600,3.378692183,4034400,0.412665908,0,0,58,5,3112200,3.483825911,3230200,0.393401593
01/09/17,EL,61,4,3218400,3.386216288,3992800,0.403551008,0,0,59,6,3120100,3.499408833,3387600,0.391225298
01/10/17,EL,61,6,3220100,3.364424863,4025600,0.426763326,0,0,57,6,2974700,3.503841564,3164100,0.394240199
01/11/17,EL,60,5,3246400,3.299933773,4143600,0.438993388,0,0,58,5,2769900,3.461990144,3296700,0.374558829
01/12/17,EL,63,5,3428000,3.31729755,4095400,0.451605254,0,0,58,5,2766500,3.470670342,3461100,0.364459141
01/01/18,EL,62,4,3418000,3.261195143,4318000,0.443654111,0,0,60,5,2847600,3.497745821,3172300,0.369616573
